O2 + 36SO -> 36S + O3
H + 32SO -> 32S + OH
H + 33SO -> 33S + OH
H + 34SO -> 34S + OH
H + 36SO -> 36S + OH
OH + 32SO3 -> 32SO2 + HO2
OH + 33SO3 -> 33SO2 + HO2
OH + 34SO3 -> 34SO2 + HO2
OH + 36SO3 -> 36SO2 + HO2
32SO3 + O2 -> 32SO2 + O3
33SO3 + O2 -> 33SO2 + O3
34SO3 + O2 -> 34SO2 + O3
36SO3 + O2 -> 36SO2 + O3
32SO2 + OH -> 32HSO + O2
33SO2 + OH -> 33HSO + O2
34SO2 + OH -> 34HSO + O2
36SO2 + OH -> 36HSO + O2
O2 + O2 + 32SH -> 32HSO + O3
O2 + O2 + 33SH -> 33HSO + O3
O2 + O2 + 34SH -> 34HSO + O3
O2 + O2 + 36SH -> 36HSO + O3
HO2 + 32SO2 -> 32HSO2 + O2
HO2 + 33SO2 -> 33HSO2 + O2
HO2 + 34SO2 -> 34HSO2 + O2
HO2 + 36SO2 -> 36HSO2 + O2
HO2 + 32SO3 -> 32HSO3 + O2
HO2 + 33SO3 -> 33HSO3 + O2
HO2 + 34SO3 -> 34HSO3 + O2
HO2 + 36SO3 -> 36HSO3 + O2
32SO3 -> 32SO2 + O
33SO3 -> 33SO2 + O
34SO3 -> 34SO2 + O
36SO3 -> 36SO2 + O
32HSO3 -> 32SO2 + OH
33HSO3 -> 33SO2 + OH
34HSO3 -> 34SO2 + OH
36HSO3 -> 36SO2 + OH
32H2SO4 -> 32SO3 + H2O
33H2SO4 -> 33SO3 + H2O
34H2SO4 -> 34SO3 + H2O
36H2SO4 -> 36SO3 + H2O
32SO2 + OH + OH -> 32H2SO4
33SO2 + OH + OH -> 33H2SO4
34SO2 + OH + OH -> 34H2SO4
36SO2 + OH + OH -> 36H2SO4
O3 -> O + O2
N + N -> N2
32SO4 -> 32SO2
33SO4 -> 33SO2
34SO4 -> 34SO2
36SO4 -> 36SO2
32SO2 -> 32CH3SCH3 + O
33SO2 -> 33CH3SCH3 + O
34SO2 -> 34CH3SCH3 + O
36SO2 -> 36CH3SCH3 + O
32SO2 -> 32CH3SCH3 + OH
33SO2 -> 33CH3SCH3 + OH
34SO2 -> 34CH3SCH3 + OH
36SO2 -> 36CH3SCH3 + OH
32SO2 + CH4O3S -> 32CH3SCH3 + OH
33SO2 + CH4O3S -> 33CH3SCH3 + OH
34SO2 + CH4O3S -> 34CH3SCH3 + OH
36SO2 + CH4O3S -> 36CH3SCH3 + OH
32SO2 + N2 -> 32SO2_1
33SO2 + N2 -> 33SO2_1
34SO2 + N2 -> 34SO2_1
36SO2 + N2 -> 36SO2_1
32SO2 -> 32SO2_1
33SO2 -> 33SO2_1
34SO2 -> 34SO2_1
36SO2 -> 36SO2_1
32SO3 + 32SO -> 32SO2_1 + 32SO2
33SO3 + 32SO -> 33SO2_1 + 32SO2
34SO3 + 32SO -> 34SO2_1 + 32SO2
36SO3 + 32SO -> 36SO2_1 + 32SO2
32SO2_3 + N2 -> 32SO2_1
33SO2_3 + N2 -> 33SO2_1
34SO2_3 + N2 -> 34SO2_1
36SO2_3 + N2 -> 36SO2_1
32SO2_3 -> 32SO2_1
33SO2_3 -> 33SO2_1
